Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
31115.0,648.742,243.7187,162.5541,1.4993,0.745081,31449.0,199.0414,0.765244,0.989401,0.929057,0.816685,0.0078327,0.0052242,0.666974,0.808029,DERMASON
46027.0,785.578,316.3375,185.2555,1.7076,0.810581,46659.0,242.0811,0.744366,0.986457,0.937222,0.765262,0.0068729,0.0040249,0.585626,0.754898,SIRA
42483.0,755.27,276.5586,195.5867,1.414,0.706997,43025.0,232.5751,0.761812,0.987396,0.935884,0.840961,0.0065098,0.0046039,0.707216,0.830362,SIRA
39238.0,721.468,265.7031,188.0271,1.4131,0.706555,39712.0,223.5159,0.766187,0.988073,0.94729,0.841224,0.0067716,0.004792,0.707659,0.831191,SIRA
47493.0,806.56,302.7664,199.7239,1.5159,0.751561,48285.0,245.9058,0.736406,0.983596,0.917412,0.812197,0.006375,0.0042054,0.659663,0.798873,SIRA
27379.0,613.953,227.643,153.1325,1.4866,0.739927,27798.0,186.7071,0.636879,0.9849,0.912748,0.820175,0.0083146,0.0055931,0.672687,0.807791,DERMASON
40261.0,751.889,296.2332,173.0469,1.7119,0.81164,40751.0,226.4117,0.849107,0.98799,0.894931,0.764302,0.0073578,0.0042981,0.584158,0.755123,SIRA
40068.0,749.155,291.4443,175.0465,1.665,0.799537,40521.0,225.8679,0.751792,0.988812,0.897151,0.774995,0.0072737,0.0043687,0.600617,0.766324,SIRA
29804.0,646.315,240.0251,158.1,1.5182,0.752422,30279.0,194.8024,0.697775,0.984306,0.896602,0.811592,0.0080534,0.0053046,0.658681,0.798855,DERMASON
47653.0,851.766,364.8979,166.2741,2.1946,0.890147,48350.0,246.319,0.748957,0.98558,0.825383,0.675035,0.0076575,0.0034893,0.455673,0.665302,HOROZ
